Channel,Freq 1 (Cycles/Step),Freq 2 (Cycles/Step),Freq 3 (Cycles/Step),Freq 4 (Cycles/Step),Freq 5 (Cycles/Step)
channel_41,0.01389,0.02778,0.02083,0.03472,0.04861
channel_42,0.01389,0.02778,0.02083,0.03472,0.01256
channel_43,0.01389,0.02778,0.02083,0.03472,0.01355
channel_44,0.01389,0.02778,0.02083,0.03472,0.01233
channel_45,0.01389,0.02778,0.02083,0.03470,0.04167
channel_46,0.01389,0.02778,0.02083,0.04167,0.03470
channel_47,0.01389,0.02778,0.02083,0.03472,0.01254
channel_48,0.01389,0.02778,0.02083,0.03472,0.01461
channel_49,0.01389,0.02778,0.02083,0.03472,0.01556
channel_5,0.01389,0.02778,0.02083,0.03470,0.04167
channel_50,0.01389,0.02778,0.02083,0.03472,0.01377
channel_51,0.01389,0.02778,0.02083,0.03472,0.01254
channel_52,0.01389,0.02778,0.02083,0.03472,0.01577
channel_53,0.01389,0.02778,0.02083,0.03472,0.01461
channel_54,0.01389,0.02778,0.02083,0.03472,0.01254
channel_55,0.01389,0.02778,0.02083,0.03472,0.01461
channel_56,0.01389,0.02778,0.02083,0.03472,0.01355
channel_57,0.01389,0.02778,0.02083,0.03472,0.01254
channel_58,0.01389,0.02778,0.02083,0.03472,0.01577
channel_59,0.01389,0.02778,0.02083,0.03472,0.01461
channel_6,0.01389,0.02778,0.02083,0.03472,0.01416
channel_60,0.01389,0.02778,0.02083,0.03472,0.01254
channel_61,0.01389,0.02778,0.02083,0.03472,0.01261
channel_62,0.01389,0.02778,0.02083,0.03472,0.01556
channel_63,0.01389,0.02778,0.02083,0.03472,0.01577
channel_64,0.01389,0.02778,0.02083,0.03472,0.01254
channel_65,0.01389,0.02778,0.02083,0.03472,0.01461
channel_66,0.01389,0.02778,0.02083,0.03472,0.01326
channel_67,0.01389,0.02778,0.02083,0.03472,0.01254
channel_68,0.01389,0.02778,0.02083,0.03472,0.01461
channel_69,0.01389,0.02778,0.02083,0.03470,0.04167
channel_7,0.01389,0.02778,0.02083,0.03472,0.01461
channel_70,0.01389,0.02778,0.02083,0.03472,0.04861
channel_71,0.01389,0.02778,0.02083,0.03472,0.04861
channel_72,0.01389,0.02778,0.02083,0.03472,0.01416
channel_73,0.01389,0.02778,0.02083,0.03472,0.01461
channel_74,0.01389,0.02778,0.02083,0.04167,0.03470
channel_75,0.01389,0.02778,0.02083,0.03472,0.01254
channel_76,0.01389,0.02778,0.02083,0.03472,0.01577
channel_77,0.01389,0.02778,0.02083,0.03472,0.01492
channel_78,0.01389,0.02083,0.02778,0.03472,0.01577
channel_79,0.01389,0.02778,0.02083,0.03472,0.01556
channel_8,0.01389,0.02778,0.02083,0.03472,0.01326
channel_80,0.01389,0.02778,0.02083,0.03472,0.01461
channel_81,0.01389,0.02778,0.02083,0.03472,0.01461
channel_82,0.01389,0.02778,0.02083,0.03472,0.01577
channel_83,0.01389,0.02778,0.02083,0.03472,0.01461
channel_84,0.01389,0.02778,0.02083,0.03472,0.01326
channel_85,0.01389,0.02778,0.02083,0.03472,0.01577
channel_86,0.01389,0.02778,0.02083,0.03472,0.01254
channel_87,0.01389,0.02778,0.02083,0.03472,0.01254
channel_88,0.01389,0.02778,0.02083,0.03472,0.01254
channel_89,0.01389,0.02778,0.02083,0.03472,0.01261
channel_9,0.01389,0.02778,0.02083,0.03472,0.01254
channel_90,0.01389,0.02778,0.02083,0.03472,0.01254
channel_91,0.01389,0.02778,0.02083,0.03472,0.01556
channel_92,0.01389,0.02778,0.02083,0.03472,0.01461
channel_93,0.01389,0.02778,0.02083,0.03472,0.01261
channel_94,0.01389,0.02778,0.02083,0.03472,0.01461
channel_95,0.01389,0.02778,0.02083,0.03472,0.01286
channel_96,0.01389,0.02778,0.02083,0.03472,0.01461
channel_97,0.01389,0.02778,0.02083,0.03470,0.04167
channel_98,0.01389,0.02778,0.02083,0.03472,0.01254
channel_99,0.01389,0.02778,0.02083,0.03472,0.01452
