Channel,Freq 1 (Cycles/Step),Freq 2 (Cycles/Step),Freq 3 (Cycles/Step),Freq 4 (Cycles/Step),Freq 5 (Cycles/Step)
channel_235,0.04167,0.08333,0.12500,0.20833,0.16667
channel_236,0.04167,0.08333,0.12500,0.16667,0.25000
channel_237,0.04167,0.08333,0.20833,0.16667,0.33333
channel_238,0.04167,0.08333,0.33333,0.16667,0.45833
channel_239,0.04167,0.08333,0.25000,0.12500,0.20833
channel_24,0.04167,0.08333,0.12500,0.01190,0.16655
channel_240,0.04167,0.08333,0.20833,0.25000,0.33333
channel_241,0.04167,0.08333,0.20833,0.16667,0.12500
channel_242,0.04167,0.08333,0.20833,0.25000,0.12500
channel_243,0.04167,0.08333,0.20833,0.25000,0.12500
channel_244,0.04167,0.08333,0.12500,0.16667,0.33333
channel_245,0.04167,0.08333,0.20833,0.33333,0.16667
channel_246,0.04167,0.08333,0.16667,0.12500,0.04186
channel_247,0.04167,0.08333,0.16667,0.04144,0.12500
channel_248,0.04167,0.08333,0.04144,0.16667,0.12500
channel_249,0.04167,0.08333,0.20833,0.16667,0.25000
channel_25,0.04167,0.08333,0.12500,0.01190,0.04764
channel_250,0.04167,0.08333,0.12500,0.16667,0.37500
channel_251,0.04167,0.08333,0.04144,0.12500,0.04189
channel_252,0.04167,0.08333,0.12500,0.20833,0.16667
channel_253,0.04167,0.08333,0.16667,0.12500,0.33333
channel_254,0.04167,0.08333,0.20833,0.25000,0.04144
channel_255,0.04167,0.08333,0.12500,0.20833,0.16667
channel_256,0.04167,0.08333,0.04144,0.20833,0.33333
channel_257,0.04167,0.08333,0.20833,0.16667,0.04144
channel_258,0.04167,0.08333,0.20833,0.33333,0.12500
channel_259,0.04167,0.08333,0.16667,0.20833,0.04189
channel_26,0.01190,0.04167,0.08333,0.01787,0.02977
channel_260,0.04167,0.08333,0.20833,0.16667,0.04144
channel_261,0.04167,0.08333,0.16667,0.12500,0.20833
channel_262,0.04167,0.08333,0.16667,0.20833,0.25000
channel_263,0.04167,0.08333,0.16667,0.12500,0.20833
channel_264,0.04167,0.08333,0.20833,0.25000,0.16667
channel_265,0.04167,0.08333,0.12500,0.20833,0.25000
channel_266,0.04167,0.08333,0.20833,0.33333,0.25000
channel_267,0.04167,0.08333,0.12500,0.16667,0.20833
channel_268,0.04167,0.08333,0.20833,0.12500,0.16667
channel_269,0.04167,0.08333,0.20833,0.16667,0.25000
channel_27,0.04167,0.08333,0.12500,0.16667,0.07736
channel_270,0.04167,0.08333,0.16667,0.20833,0.12500
channel_271,0.04167,0.08333,0.16667,0.12500,0.33333
channel_272,0.04167,0.08333,0.20833,0.12500,0.16667
channel_273,0.04167,0.08333,0.16667,0.20833,0.12500
channel_274,0.04167,0.08333,0.16667,0.20833,0.12500
channel_275,0.04167,0.08333,0.25000,0.20833,0.16667
channel_276,0.04167,0.08333,0.20833,0.16667,0.29167
channel_277,0.04167,0.08333,0.20833,0.16667,0.04144
channel_278,0.04167,0.08333,0.16667,0.20833,0.25000
channel_279,0.04167,0.08333,0.20833,0.16667,0.33333
channel_28,0.04167,0.08333,0.12500,0.01190,0.16655
channel_280,0.04167,0.08333,0.20833,0.16667,0.33333
channel_281,0.04167,0.08333,0.20833,0.04144,0.04189
channel_282,0.04167,0.08333,0.16667,0.20833,0.12500
channel_283,0.04167,0.08333,0.20833,0.16667,0.12496
channel_284,0.04167,0.08333,0.20833,0.12500,0.16667
channel_285,0.04167,0.08333,0.20833,0.25000,0.04144
channel_286,0.04167,0.08333,0.16667,0.20833,0.04189
channel_287,0.04167,0.08333,0.12500,0.16667,0.25000
channel_288,0.04167,0.08333,0.04144,0.12500,0.04189
channel_289,0.04167,0.08333,0.12500,0.16667,0.25000
channel_29,0.08333,0.04167,0.12500,0.29167,0.05357
channel_290,0.04167,0.08333,0.16667,0.12500,0.20833
channel_291,0.04167,0.08333,0.12500,0.16667,0.04144
channel_292,0.04167,0.12500,0.08333,0.25000,0.16667
channel_293,0.04167,0.12500,0.08333,0.16667,0.20833
channel_294,0.04167,0.08333,0.12500,0.16667,0.25000
channel_295,0.04167,0.12500,0.04189,0.04144,0.20833
channel_296,0.04167,0.12500,0.08333,0.04189,0.04144
channel_297,0.04167,0.08333,0.12500,0.16667,0.29167
channel_298,0.04167,0.08333,0.16667,0.12500,0.29167
channel_299,0.04159,0.04186,0.04132,0.12500,0.08326
channel_3,0.04159,0.04178,0.08341,0.08318,0.07942
channel_30,0.04167,0.01190,0.12500,0.02977,0.03570
channel_300,0.04167,0.01190,0.02977,0.03570,0.08333
channel_301,0.04167,0.12500,0.08333,0.04144,0.16667
channel_302,0.04167,0.12500,0.20833,0.08333,0.16667
channel_303,0.04167,0.12500,0.08333,0.16667,0.04189
channel_304,0.04167,0.12500,0.08333,0.04144,0.04189
channel_305,0.04167,0.12500,0.08333,0.25000,0.20833
channel_306,0.04167,0.12500,0.08333,0.16667,0.20833
channel_307,0.04167,0.08333,0.12500,0.16667,0.25000
channel_308,0.04167,0.12500,0.04189,0.04144,0.20833
channel_309,0.04167,0.12500,0.08333,0.16667,0.25000
channel_31,0.04167,0.08333,0.12500,0.01190,0.25000
channel_310,0.04167,0.08333,0.16667,0.12500,0.25000
channel_311,0.04167,0.12500,0.01190,0.03570,0.02977
channel_312,0.04167,0.12500,0.08333,0.16667,0.25000
channel_313,0.04167,0.12500,0.08333,0.20833,0.25000
channel_314,0.04167,0.08333,0.12500,0.16667,0.04144
channel_315,0.04167,0.12500,0.25000,0.04189,0.04144
channel_316,0.04167,0.08333,0.12500,0.16667,0.25000
channel_317,0.04167,0.12500,0.08333,0.16667,0.25000
channel_318,0.04167,0.01787,0.02380,0.01190,0.05953
channel_319,0.04167,0.08333,0.01190,0.12500,0.20833
channel_32,0.04167,0.08333,0.01190,0.03570,0.16667
channel_320,0.04167,0.01190,0.02977,0.03570,0.08333
channel_321,0.04167,0.01190,0.02977,0.08333,0.03570
channel_33,0.08333,0.04167,0.16667,0.12500,0.01190
channel_34,0.04167,0.08333,0.12500,0.04144,0.04189
channel_35,0.04167,0.08333,0.12500,0.01190,0.01787
channel_36,0.04167,0.08333,0.12500,0.16667,0.04144
channel_37,0.04167,0.01190,0.08333,0.02977,0.01787
channel_38,0.08333,0.04167,0.12500,0.16667,0.29167
channel_39,0.04167,0.08333,0.12500,0.01190,0.16667
channel_4,0.04167,0.08333,0.12500,0.04764,0.16655
channel_40,0.04167,0.08333,0.12500,0.01190,0.16667
channel_41,0.04167,0.08333,0.12500,0.01190,0.29167
channel_42,0.04167,0.08333,0.12500,0.01190,0.20833
channel_43,0.08333,0.04167,0.16667,0.12500,0.01190
channel_44,0.04167,0.08333,0.16667,0.12500,0.25000
channel_45,0.08333,0.04167,0.16667,0.12500,0.25000
channel_46,0.04167,0.08333,0.12500,0.01190,0.16667
channel_47,0.04167,0.08333,0.12500,0.04144,0.04189
channel_48,0.04167,0.08333,0.12500,0.16667,0.25000
channel_49,0.04167,0.08333,0.16667,0.25000,0.01190
channel_5,0.04167,0.08333,0.12500,0.16655,0.25000
channel_50,0.04167,0.08333,0.12500,0.16667,0.01190
channel_51,0.04167,0.12500,0.01190,0.08333,0.02977
channel_52,0.04167,0.08333,0.12500,0.02977,0.01190
channel_53,0.04167,0.08333,0.12500,0.01190,0.16667
channel_54,0.04167,0.08333,0.12500,0.04144,0.16655
channel_55,0.04167,0.08333,0.12500,0.01190,0.16655
channel_56,0.04167,0.08333,0.01190,0.20833,0.16667
channel_57,0.04167,0.08333,0.12500,0.01190,0.16655
channel_58,0.04167,0.08333,0.12500,0.29167,0.04144
channel_59,0.08333,0.04167,0.12500,0.16667,0.25000
channel_6,0.04167,0.08333,0.12500,0.16667,0.04144
channel_60,0.04167,0.08333,0.12500,0.01194,0.03574
channel_61,0.04167,0.08333,0.16667,0.12500,0.01190
channel_62,0.04167,0.08333,0.12500,0.04144,0.16655
channel_63,0.04167,0.08333,0.12500,0.25000,0.16667
channel_64,0.04167,0.08333,0.12500,0.29167,0.08930
channel_65,0.08333,0.16667,0.04167,0.12500,0.20833
channel_66,0.04167,0.08333,0.12500,0.01190,0.04764
channel_67,0.04167,0.08333,0.12500,0.16655,0.01190
channel_68,0.04167,0.08333,0.12500,0.01190,0.16655
channel_69,0.04167,0.16667,0.01190,0.03570,0.12500
channel_7,0.04167,0.08333,0.12500,0.01182,0.04144
channel_70,0.04167,0.08333,0.20833,0.16667,0.01190
channel_71,0.08333,0.04167,0.16667,0.12500,0.01190
channel_72,0.08333,0.04167,0.16667,0.12500,0.25000
channel_73,0.04167,0.08333,0.16667,0.12500,0.25000
channel_74,0.04167,0.08333,0.12500,0.16667,0.20833
channel_75,0.04167,0.08333,0.12500,0.04144,0.16655
channel_76,0.04167,0.08333,0.01190,0.03570,0.02977
channel_77,0.04167,0.08333,0.12500,0.16667,0.01190
channel_78,0.08333,0.04167,0.12500,0.16667,0.29167
channel_79,0.08333,0.04167,0.16667,0.25000,0.33333
channel_8,0.04167,0.08333,0.12500,0.01190,0.02977
channel_80,0.04167,0.08333,0.12500,0.16667,0.01190
channel_81,0.04167,0.08333,0.12500,0.05357,0.01190
channel_82,0.01190,0.01787,0.03570,0.02977,0.01122
channel_83,0.04167,0.08333,0.12500,0.25000,0.02977
channel_84,0.04167,0.08333,0.16667,0.12500,0.03570
channel_85,0.04167,0.01190,0.12500,0.08333,0.16667
channel_86,0.04167,0.01190,0.08333,0.02977,0.03570
channel_87,0.04167,0.01190,0.02977,0.12500,0.03570
channel_88,0.04167,0.01190,0.02977,0.03570,0.04764
channel_89,0.04167,0.12500,0.20833,0.29167,0.04189
channel_9,0.08333,0.04167,0.16667,0.12500,0.20833
channel_90,0.04167,0.12500,0.08333,0.16667,0.04189
channel_91,0.04167,0.12500,0.08333,0.04189,0.16667
channel_92,0.04167,0.08333,0.12500,0.16667,0.25000
channel_93,0.12500,0.08333,0.04167,0.16667,0.04144
channel_94,0.04167,0.08333,0.12500,0.16667,0.25000
channel_95,0.04167,0.12500,0.08333,0.16667,0.25000
channel_96,0.04167,0.12500,0.08333,0.04189,0.16667
channel_97,0.04167,0.08333,0.12500,0.01190,0.03570
channel_98,0.04167,0.08333,0.12500,0.16667,0.29167
channel_99,0.04167,0.01190,0.08333,0.12500,0.04189
